Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,T,PI,22,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,T,AA,43,1,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,T,AI,64,4,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,T,PN,82,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,T,PA,112,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,U,PA,15,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,U,AI,24,2,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,U,PN,49,7,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,U,PI,69,6,B
Lfd_01,246AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:29:00,NW,U,AA,105,2,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,C,AA,13,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,C,PN,30,3,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,C,AI,37,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,C,PA,60,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,C,PI,103,4,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,D,PN,4,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,D,AA,54,5,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,D,AI,84,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,D,PA,97,5,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,D,PI,114,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,E,PA,34,2,B
